Timestamp,What is your age?,What is your gender?,What is your University name?,Your current year of study?,How many cups of caffeine (tea/coffee/energy drinks) do you have daily?,How often do you use electronic devices (phone/laptop) in bed before sleep?,How often do you feel cognitive load?,How often do you feel stressed?,"How would you rate your ""Mental Stamina"" (the ability to think hard for long periods)?","How often do you find yourself ""spacing out"" or losing your train of thought during conversations?","Do you experience ""Audio Lag"" (hearing someone speak but taking a few seconds to understand the meaning)?","On average, how many hours of actual sleep do you get per night?",How often do you wake up in the middle of the night?,How would you rate your overall sleep quality?,How often do you forget basic information in your daily life?,"How much do you rely on ""external reminders"" (alarms, notes, friends) to remember basic daily tasks?","How frequently do you experience ""Brain Fog"" (confusion or lack of clarity)?",How many academic deadlines have you missed or delayed in the last month?,To what extent do you feel sleep deprivation is lowering your GPA?,How often does physical or mental fatigue prevent you from completing your daily goals? ,Do you struggle with making quick decisions or solving logical problems?
2026/04/27 06:22:15 AM GMT+6,22,Male,IUT,1st Year,3â€“4,Rarely,Always,Sometimes,2 (Fading Fast),Sometimes,Yes,6â€“7 hours,Never,5 (Excellent),Sometimes,Completely dependent,Sometimes,1â€“2,Moderate impact,Never,Never
2026/04/23 11:31:47 AM GMT+6,26,Male,AUST,Graduated,1â€“2,Always,Always,Always,3 (Full Energy),Sometimes,Maybe,More than 8 hours,Always,5 (Excellent),Sometimes,Sometimes,Sometimes,5 or more,Moderate impact,Often,Always
2026/03/02 07:47:10 PM GMT+6,26,Male,Sylhet Agricultural University,4th Year,3â€“4,Sometimes,Always,Sometimes,1 (Total Exhaustion),Always,No,Less than 5 hours,Always,5 (Excellent),Sometimes,Not at all,Sometimes,1â€“2,High impact,Rarely,Sometimes
2026/04/17 09:26:55 PM GMT+6,23,Female,DIU,2nd Year,1â€“2,Rarely,Rarely,Rarely,2 (Fading Fast),Never,Yes,6â€“7 hours,Always,5 (Excellent),Always,Sometimes,Never,3â€“4,Moderate impact,Often,Never
2026/03/17 05:02:23 AM GMT+6,26,Male,IIUC Chittagong,4th Year,3â€“4,Sometimes,Sometimes,Rarely,1 (Total Exhaustion),Always,Yes,5â€“6 hours,Sometimes,3 (Average),Always,Sometimes,Sometimes,1â€“2,High impact,Never,Sometimes
2026/03/13 12:58:15 PM GMT+6,24,Male,AUST,3rd Year,5 or more,Never,Sometimes,Never,1 (Total Exhaustion),Sometimes,Yes,7â€“8 hours,Sometimes,3 (Average),Rarely,Sometimes,Never,5 or more,High impact,Never,Sometimes
2026/04/01 11:40:24 PM GMT+6,25,Male,IIUC Chittagong,3rd Year,3â€“4,Sometimes,Rarely,Sometimes,1 (Total Exhaustion),Rarely,Maybe,Less than 5 hours,Never,1 (Very Poor),Rarely,Completely dependent,Never,1â€“2,No impact,Sometimes,Always
2026/04/17 05:49:52 AM GMT+6,26,Female,SUST,4th Year,3â€“4,Never,Never,Always,1 (Total Exhaustion),Always,Maybe,Less than 5 hours,Always,1 (Very Poor),Rarely,Not at all,Never,1â€“2,Moderate impact,Rarely,Always
2026/04/15 02:00:13 PM GMT+6,22,Male,"Independent University, Bangladesh (IUB)",1st Year,5 or more,Rarely,Rarely,Sometimes,2 (Fading Fast),Sometimes,Yes,Less than 5 hours,Sometimes,1 (Very Poor),Rarely,Completely dependent,Always,1â€“2,No impact,Never,Never
2026/04/26 07:59:47 AM GMT+6,27,Male,Sylhet Agricultural University,4th Year,1â€“2,Never,Never,Never,2 (Fading Fast),Rarely,Yes,5â€“6 hours,Always,4 (Good),Always,Sometimes,Always,1â€“2,No impact,Sometimes,Sometimes
